REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,MONTH,YEAR,DEPTH,SEVERITY_CODE,BLEACHING_SEVERITY,CORAL_FAMILY,CORAL_SPECIES,PERCENTAGE_AFFECTED,BLEACHING_DURATION,MORTALITY_CODE,MORTALITY,RECOVERY_CODE,RECOVERY,SURVEY_TYPE,SURVEY_AREA,WATER_TEMPERATURE,OTHER_FACTORS,REMARKS
,,Panama (Atlantic),"Cayos Zapatilla A, Archipielago de Bocas del Toro",9.2723,-82.0065,6,2002,12m,2,Medium,"Acroporidae, Poritidae","Acropora palmata, Porites astreoides",23%,,,,,,,,unusually warm,"salinity was unusually low, extreme low tidesin early June","Live stony coral cover 28%.  
23% of stony coral (>10 cm diameter) pale to completely  bleached"
,,St. Croix,Cane Bay,17.684,-64.739,9,1987,8-10m,1,Low,,"Colpophyllia natans, Diploria labyrinthiformis, Montastraea annularis, Porites astreoides, Stephanocoenia intersepta,  Agaricia tenuifolia, Leptoseris cucullata, Millepora alcicornis, Acropora cervicornis, A . palmata, Porites porites",30%,Start of mass bleaching mid Sept 1987,1,0.9% of coral cover was just dead.  >25% D. labyrinthiformis dead.,,Recovery start by Oct-Nov. 1987,"5 transect, 20 m meter long, point count data",,,,"23.2% of coral cover was pale, 5.8% bleached (3 minth after bleaching start)
Five of the scleractinian corals that exhibited prolonged bleaching have predominantly massive morphologies  (Colpophyllia natans, Diploria labyrinthiformis, the ""Montastraea annularis complex,"" Porites astreoides, Stephanocoenia intersepta) and three are foliaceous (the ""Agaricia agaricites complex,""  A . tenuifolia, Leptoseris cucullata [=Helioseris cucullata]) . The milleporan, M. alcicornis, is primarily an encrusting coral. Several of the rapidly growing, branching taxa (Acropora cervicornis, A . palmata,Porites porites, ""finger Porites""), which are known to have been affected by the mass bleaching event at these sites are presumed to have mostly recovered before the point-count surveys began. 
Diploria labyrinthiformis was considered a good indicator of prolonged bleaching at 8-10 m at this site"
Africa,Eastern Africa,Kenya,Kenya,-3.366666667,40.48333333,3,1998,2-20,3,HIGH,,,75.00,,,,,,,,,," Bleaching and mortality were highest in shallow habitats and pools, where water stagnation occurs, or where corals are regularly exposed to outflow of shallow (warm) lagoon waters and/or to mangrove and sediment influence."
Africa,Eastern Africa,Kenya,Kisite,-4.716667,39.366667,4,2010,1.3-5m,3,HIGH,," Acropora, Porites Bra, Galexea astreata, Astreopora, Favites, Goniastrea, Hydnophora, Stylophora, Fungia and pocillopora",66%,,,,,,,,,,"15 genera affected by bleaching; Among the dominant genera; Acropora, Porites Bra, Galexea astreata, Astreopora, Favites, Goniastrea, Hydnophora were most affected in a decreasing order of magnitudewhile the rare genera, Stylophora, Fungia and pocillopora were the most affected.
Bleaching response varied across genera and species with branching ones being the most affected.
Previously , coral bleaching was observed in this area"
Africa,Eastern Africa,Kenya,Kiunga,-1.986,41.383,4,2003,0.3-1.0m,1,Low,,"Pocillopora, Montipora, Hydnophora, Echinopora, Pocillopora, Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.",15.00,,,,,,,,,alm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.,"Paling of coral colonies was first observed in Kiunga during monitoring prior to March 24, however it was so mild that it was not specially noted.  From April 4 in Kiunga, bleaching was first observed and reported widely.  Following that, pale, partially bleached and some fully bleached corals were reported widely throughout Kenya. 
Bleaching is mild to moderate rather than severe; colonies are ‘paling’, and all shades of colour from normal to white are observed. In Kenya, most paling and bleaching is on upper surfaces, and the coincidence of high temperatures, calm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.
The spatial extent of paling and bleaching amounts to perhaps 10-20% of coral cover and 5-25% or colonies, with most observations made in shallow inner-reef zones (water depth of 0.3-1m at MLW).  
Most detail on taxonomic incidence of bleaching has come from reports in Kenya, where the most affected genus is Pocillopora, where locally close to 100% of colonies have been observed bleached, and some colonies observed with dead patches (primarily around the branch tips). Interestingly, P. damicornis is less affected than other species, and in one shallow reef flat area is unaffected. After Pocillopora, the most strongly affected genera include Porites, Echinopora, Galaxea and partially affected genera include Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona."
Africa,Eastern Africa,Kenya,Malindi,-3.215,40.127,4,2003,0.3-1.0m,1,Low,,"Pocillopora, Montipora, Hydnophora, Echinopora, Pocillopora, Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.",15.00,,,,,,,,,alm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.,"From April 8 in Malindi, bleaching was first observed and reported widely.  Following that, pale, partially bleached and some fully bleached corals were reported widely throughout Kenya. 
Bleaching is mild to moderate rather than severe; colonies are ‘paling’, and all shades of colour from normal to white are observed. In Kenya, most paling and bleaching is on upper surfaces, and the coincidence of high temperatures, calm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.
The spatial extent of paling and bleaching amounts to perhaps 10-20% of coral cover and 5-25% or colonies, with most observations made in shallow inner-reef zones (water depth of 0.3-1m at MLW).
Most detail on taxonomic incidence of bleaching has come from reports in Kenya, where the most affected genus is Pocillopora, where locally close to 100% of colonies have been observed bleached, and some colonies observed with dead patches (primarily around the branch tips). Interestingly, P. damicornis is less affected than other species, and in one shallow reef flat area is unaffected. After Pocillopora, the most strongly affected genera include Porites, Echinopora, Galaxea and partially affected genera include Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona."
Africa,Eastern Africa,Kenya,Mkokoni Coral Garden,1.9614,41.30054,4,2010,3-6m,3,HIGH,,"pocillopora, porites massive, acropora, favia, favites,echinopora, montipora and coscinarea.",72%,,,,,,,,,,"11 genera affected of which pocillopora was the most impacted ith highest colonies being completely bleached.other genera with showed various response of low to moderate bleaching depeding on size, and morphology are porites massive, acropora, favia, favites,echinopora, montipora and coscinarea.
The levels of bleaching response differed among different genera and species with pocilopora and porites masive being the dominant and with highest signal of bleaching.
Previously coral bleaching was also observed in this area"
Africa,Eastern Africa,Kenya,Mombasa Marine Park,-3.985,39.762,4,2003,"0.3-1.0m, 12-15m",1,Low,,"Pocillopora, Montipora, Hydnophora, Echinopora, Pocillopora, Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.",15.00,,,,,,,,31.2 and 33.4C (Peak at shallow area),alm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.,"Pale, partially bleached and some fully bleached corals were reported widely throughout Kenya. 
Bleaching is mild to moderate rather than severe; colonies are ‘paling’, and all shades of colour from normal to white are observed. In Kenya, most paling and bleaching is on upper surfaces, and the coincidence of high temperatures, calm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.
The spatial extent of paling and bleaching amounts to perhaps 10-20% of coral cover and 5-25% or colonies, with most observations made in shallow inner-reef zones (water depth of 0.3-1m at MLW).  Bleaching was also recorded at 12-15m on the fore reef slope off Mombasa, though at lower levels of <5%, and to milder levels than in shallow water.
Most detail on taxonomic incidence of bleaching has come from reports in Kenya, where the most affected genus is Pocillopora, where locally close to 100% of colonies have been observed bleached, and some colonies observed with dead patches (primarily around the branch tips). Interestingly, P. damicornis is less affected than other species, and in one shallow reef flat area is unaffected. After Pocillopora, the most strongly affected genera include Porites, Echinopora, Galaxea and partially affected genera include Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.
From repeated surveys in the Mombasa area in April/May, it appears that the incidence of bleaching is not increasing, and it remains to be seen to what extent colonies recover or die.  From temperature logger data for Mombasa, the bleaching was only observed at the end of the temperature plateau around April 10, and since then water temperatures have steadily declined."
Africa,Eastern Africa,Kenya,Mpunguti,-4.692222,39.409444,4,2010,1.5-4m,3,HIGH,,"Acropora, Porites Bra, Goniastrea, Favia, Alveopora, Galaxea fascicularis , pocillopora and seriatiopora",58%,,,,,,,,,,"16 genera affected. Among the dominant group; Acropora, Porites Bra, Goniastrea, Favia, Alveopora and Galaxea fascicularis were affected while rare group included pocillopora and seriatiopora were the genera affected.
Extensive paling and moderate bleaching among different genera and species"
Africa,Eastern Africa,Kenya,Shimo la Tewa,2.04296,41.24666,4,2010,1.5-4m,3,HIGH,,"pocillopora , Acropora, echinopora, favites, tubinaria, goniastrea, platygyra and favia",52%,,,,,,,,,,"14 genera affected and pocillopora being the most impacted genera. Other genera affected are Acropora, echinopora, favites, tubinaria, goniastrea, platygyra and favia.
The levels of bleaching response differed among different genera and species with pocilopora and porites masive being the dominant and with highest signal of bleaching
Previously coral bleaching was observed in this area"
